	X	PlayerID	Player.Name	Season	PT2M_0	PT2M_1	PT2M_2	PT2M_3	PT2M_4	PT2M_5	PT2M_6	PT2M_7	PT2M_8	PT2M_9	PT2M_10	PT2M_11	PT2M_12	PT2M_13	PT2M_14	PT2M_15	PT2M_16	PT2M_17	PT2M_18	PT2M_19	PT2M_20	PT2M_21	PT2M_22	PT2M_23	PT2M_24	PT2A_0	PT2A_1	PT2A_2	PT2A_3	PT2A_4	PT2A_5	PT2A_6	PT2A_7	PT2A_8	PT2A_9	PT2A_10	PT2A_11	PT2A_12	PT2A_13	PT2A_14	PT2A_15	PT2A_16	PT2A_17	PT2A_18	PT2A_19	PT2A_20	PT2A_21	PT2A_22	PT2A_23	PT2A_24	PT3M_22	PT3M_23	PT3M_24	PT3M_25	PT3M_26	PT3M_27	PT3M_28	PT3M_29	PT3M_30	PT3M_31	PT3M_32	PT3M_33	PT3M_34	PT3M_35	PT3M_36	PT3M_37	PT3M_38	PT3A_22	PT3A_23	PT3A_24	PT3A_25	PT3A_26	PT3A_27	PT3A_28	PT3A_29	PT3A_30	PT3A_31	PT3A_32	PT3A_33	PT3A_34	PT3A_35	PT3A_36	PT3A_37	PT3A_38
820	A	203489	Nate Wolters	2013-14	1	8	16	26	13	12	7	4	7	6	7	4	5	4	7	1	0	4	2	1	5	5	1	0	1	2	10	25	42	22	21	16	13	23	12	23	13	14	8	14	3	5	4	5	8	13	9	6	6	1	3	2	7	2	2	2	0	0	0	0	0	0	0	0	0	0	0	7	3	20	14	8	2	1	2	0	1	0	0	0	0	0	0	0
821	A	203489	Nate Wolters	2014-15	0	1	1	4	3	0	0	1	3	0	2	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	2	7	5	5	4	3	3	4	3	3	1	1	1	1	3	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0
822	A	203490	Otto Porter	2013-14	1	2	3	1	2	2	2	1	0	0	1	1	0	0	1	0	1	0	3	0	6	2	0	0	0	1	4	5	3	3	2	2	3	1	1	2	3	1	2	5	0	3	1	7	2	10	4	4	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	5	4	6	2	1	2	0	0	0	0	0	0	0	0	0	0	0
823	A	203490	Otto Porter	2014-15	2	9	6	9	10	5	4	1	4	1	2	0	0	2	3	2	1	3	4	2	15	3	2	3	0	3	13	10	12	14	6	8	4	8	2	2	3	3	6	9	5	4	5	9	9	24	11	12	4	1	2	5	2	8	2	0	0	0	0	0	0	0	0	0	0	0	0	7	13	10	22	4	0	0	0	0	0	0	0	0	0	0	0	0
824	A	203491	Peyton Siva	2013-14	0	0	2	1	1	2	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	7	4	5	5	1	1	2	0	0	1	1	0	0	0	0	1	0	0	1	1	1	1	0	0	0	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	12	7	1	0	0	0	0	0	0	0	0	0	0	0
825	A	203492	Ray McCallum	2013-14	2	3	5	13	16	7	2	1	1	0	3	2	3	0	1	1	2	2	3	4	5	10	4	1	0	3	5	10	19	37	20	4	4	2	1	7	6	6	6	3	3	6	7	9	16	19	22	18	4	3	5	4	3	6	1	1	1	0	0	0	0	0	0	0	0	0	0	10	11	11	12	4	3	1	0	0	0	0	0	0	0	0	0	0
826	A	203492	Ray McCallum	2014-15	0	2	11	7	11	2	1	0	2	0	0	0	3	2	6	2	2	1	6	1	2	2	2	0	0	0	2	14	13	20	4	4	0	2	2	2	0	6	5	9	5	3	4	12	4	11	8	4	1	0	1	4	3	1	0	1	0	1	0	0	0	0	0	0	0	0	0	11	9	12	7	2	1	0	3	1	0	1	0	0	0	0	0	0
827	A	203493	Reggie Bullock	2013-14	0	1	3	2	4	0	0	2	0	0	0	0	1	0	0	0	1	2	1	1	1	1	0	1	0	0	1	3	3	6	0	1	2	0	0	2	0	2	1	0	2	2	2	4	5	5	4	2	1	0	3	7	5	4	2	1	0	0	0	0	0	0	0	0	0	0	0	6	14	22	17	7	3	0	1	1	0	0	0	0	0	0	0	0
828	A	203493	Reggie Bullock	2014-15	0	0	0	1	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	4	1	1	1	0	0	0	0	0	0	0	0	0	0	0	2	3	0	2	0	0	6	2	3	2	1	0	0	1	0	0	0	0	0	0	0	0	0	13	5	11	5	3	0	0	2	0	1	0	0	0	0	0	0	0
829	A	203495	Ricky Ledo	2013-14	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0
830	A	203495	Ricky Ledo	2014-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
